2018-06-04 16:41:25,030 [Worker-1] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-06-04 17:30:44,167 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-all/1.1/hamcrest-all-1.1.pom
2018-06-04 17:30:44,195 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/cglib/cglib-nodep/2.2/cglib-nodep-2.2.pom
2018-06-04 17:30:44,209 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/cglib/cglib-nodep/2.2/cglib-nodep-2.2.pom
2018-06-04 17:30:44,253 [Worker-30] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: finalProject:finalProject:0.0.1-SNAPSHOT @ /Users/max/Documents/365/final/finalProject/pom.xml.
2018-06-04 17:30:44,263 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/jsoup/jsoup/1.8.2/jsoup-1.8.2.pom
2018-06-04 17:30:44,319 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/jsoup/jsoup/1.8.2/jsoup-1.8.2.pom
2018-06-04 17:30:44,344 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/github/davidmoten/rtree/0.7.5/rtree-0.7.5.pom
2018-06-04 17:30:44,416 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/davidmoten/rtree/0.7.5/rtree-0.7.5.pom
2018-06-04 17:30:44,429 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/github/davidmoten/sonatype-parent/0.1/sonatype-parent-0.1.pom
2018-06-04 17:30:44,433 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/github/davidmoten/rtree/0.7.5/rtree-0.7.5.pom
2018-06-04 17:30:44,451 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/davidmoten/sonatype-parent/0.1/sonatype-parent-0.1.pom
2018-06-04 17:30:44,457 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/davidmoten/rtree/0.7.5/rtree-0.7.5.pom
2018-06-04 17:30:44,466 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/github/davidmoten/guava-mini/0.1/guava-mini-0.1.pom
2018-06-04 17:30:44,478 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/github/davidmoten/guava-mini/0.1/guava-mini-0.1.pom
2018-06-04 17:30:44,482 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/davidmoten/guava-mini/0.1/guava-mini-0.1.pom
2018-06-04 17:30:44,484 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/davidmoten/guava-mini/0.1/guava-mini-0.1.pom
2018-06-04 17:30:44,499 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/io/reactivex/rxjava/1.1.1/rxjava-1.1.1.pom
2018-06-04 17:30:44,499 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/io/reactivex/rxjava/1.1.1/rxjava-1.1.1.pom
2018-06-04 17:30:44,517 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/io/reactivex/rxjava/1.1.1/rxjava-1.1.1.pom
2018-06-04 17:30:44,520 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/io/reactivex/rxjava/1.1.1/rxjava-1.1.1.pom
2018-06-04 17:30:44,533 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/language-en/2.5/language-en-2.5.pom
2018-06-04 17:30:44,533 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/language-en/2.5/language-en-2.5.pom
2018-06-04 17:30:44,550 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/language-en/2.5/language-en-2.5.pom
2018-06-04 17:30:44,551 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/language-en/2.5/language-en-2.5.pom
2018-06-04 17:30:44,562 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/languagetool-parent/2.5/languagetool-parent-2.5.pom
2018-06-04 17:30:44,564 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/languagetool-parent/2.5/languagetool-parent-2.5.pom
2018-06-04 17:30:44,576 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/languagetool-parent/2.5/languagetool-parent-2.5.pom
2018-06-04 17:30:44,577 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/languagetool-parent/2.5/languagetool-parent-2.5.pom
2018-06-04 17:30:44,699 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/languagetool-core/2.5/languagetool-core-2.5.pom
2018-06-04 17:30:44,717 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/languagetool-core/2.5/languagetool-core-2.5.pom
2018-06-04 17:30:44,725 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/languagetool-core/2.5/languagetool-core-2.5.pom
2018-06-04 17:30:44,738 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/languagetool-core/2.5/languagetool-core-2.5.pom
2018-06-04 17:30:44,758 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/carrot2/morfologik-fsa/1.9.0/morfologik-fsa-1.9.0.pom
2018-06-04 17:30:44,759 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/carrot2/morfologik-fsa/1.9.0/morfologik-fsa-1.9.0.pom
2018-06-04 17:30:44,791 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/carrot2/morfologik-fsa/1.9.0/morfologik-fsa-1.9.0.pom
2018-06-04 17:30:44,799 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/carrot2/morfologik-fsa/1.9.0/morfologik-fsa-1.9.0.pom
2018-06-04 17:30:44,807 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/carrot2/morfologik-parent/1.9.0/morfologik-parent-1.9.0.pom
2018-06-04 17:30:44,813 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/carrot2/morfologik-parent/1.9.0/morfologik-parent-1.9.0.pom
2018-06-04 17:30:44,824 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/carrot2/morfologik-parent/1.9.0/morfologik-parent-1.9.0.pom
2018-06-04 17:30:44,829 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/carrot2/morfologik-parent/1.9.0/morfologik-parent-1.9.0.pom
2018-06-04 17:30:44,839 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/carrot2/morfologik-speller/1.9.0/morfologik-speller-1.9.0.pom
2018-06-04 17:30:44,843 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/carrot2/morfologik-speller/1.9.0/morfologik-speller-1.9.0.pom
2018-06-04 17:30:44,854 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/carrot2/morfologik-speller/1.9.0/morfologik-speller-1.9.0.pom
2018-06-04 17:30:44,858 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/carrot2/morfologik-speller/1.9.0/morfologik-speller-1.9.0.pom
2018-06-04 17:30:44,868 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/carrot2/morfologik-stemming/1.9.0/morfologik-stemming-1.9.0.pom
2018-06-04 17:30:44,870 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/carrot2/morfologik-stemming/1.9.0/morfologik-stemming-1.9.0.pom
2018-06-04 17:30:44,889 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/carrot2/morfologik-stemming/1.9.0/morfologik-stemming-1.9.0.pom
2018-06-04 17:30:44,889 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/carrot2/morfologik-stemming/1.9.0/morfologik-stemming-1.9.0.pom
2018-06-04 17:30:44,903 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/net/sourceforge/segment/segment/1.4.2/segment-1.4.2.pom
2018-06-04 17:30:44,903 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/net/sourceforge/segment/segment/1.4.2/segment-1.4.2.pom
2018-06-04 17:30:44,917 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/sourceforge/segment/segment/1.4.2/segment-1.4.2.pom
2018-06-04 17:30:44,919 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/net/sourceforge/segment/segment/1.4.2/segment-1.4.2.pom
2018-06-04 17:30:44,947 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-tokenize-models/1.5/opennlp-tokenize-models-1.5.pom
2018-06-04 17:30:44,947 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-tokenize-models/1.5/opennlp-tokenize-models-1.5.pom
2018-06-04 17:30:44,959 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-tokenize-models/1.5/opennlp-tokenize-models-1.5.pom
2018-06-04 17:30:44,961 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-tokenize-models/1.5/opennlp-tokenize-models-1.5.pom
2018-06-04 17:30:44,971 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/knowitall-oss/1.0.0/knowitall-oss-1.0.0.pom
2018-06-04 17:30:44,973 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/knowitall-oss/1.0.0/knowitall-oss-1.0.0.pom
2018-06-04 17:30:44,985 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/knowitall-oss/1.0.0/knowitall-oss-1.0.0.pom
2018-06-04 17:30:44,986 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/knowitall-oss/1.0.0/knowitall-oss-1.0.0.pom
2018-06-04 17:30:45,000 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-postag-models/1.5/opennlp-postag-models-1.5.pom
2018-06-04 17:30:45,002 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-postag-models/1.5/opennlp-postag-models-1.5.pom
2018-06-04 17:30:45,010 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-postag-models/1.5/opennlp-postag-models-1.5.pom
2018-06-04 17:30:45,011 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-postag-models/1.5/opennlp-postag-models-1.5.pom
2018-06-04 17:30:45,023 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-chunk-models/1.5/opennlp-chunk-models-1.5.pom
2018-06-04 17:30:45,023 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-chunk-models/1.5/opennlp-chunk-models-1.5.pom
2018-06-04 17:30:45,034 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-chunk-models/1.5/opennlp-chunk-models-1.5.pom
2018-06-04 17:30:45,035 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/edu/washington/cs/knowitall/opennlp-chunk-models/1.5/opennlp-chunk-models-1.5.pom
2018-06-04 17:30:45,048 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/language-zh/2.5/language-zh-2.5.pom
2018-06-04 17:30:45,049 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/language-zh/2.5/language-zh-2.5.pom
2018-06-04 17:30:45,059 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/language-zh/2.5/language-zh-2.5.pom
2018-06-04 17:30:45,060 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/language-zh/2.5/language-zh-2.5.pom
2018-06-04 17:30:45,073 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/googlecode/ictclas4j/ictclas4j/1.0.1/ictclas4j-1.0.1.pom
2018-06-04 17:30:45,074 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/googlecode/ictclas4j/ictclas4j/1.0.1/ictclas4j-1.0.1.pom
2018-06-04 17:30:45,087 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/googlecode/ictclas4j/ictclas4j/1.0.1/ictclas4j-1.0.1.pom
2018-06-04 17:30:45,087 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/googlecode/ictclas4j/ictclas4j/1.0.1/ictclas4j-1.0.1.pom
2018-06-04 17:30:45,106 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/code/cjftransform/1.0.1/cjftransform-1.0.1.pom
2018-06-04 17:30:45,107 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/google/code/cjftransform/1.0.1/cjftransform-1.0.1.pom
2018-06-04 17:30:45,116 [Worker-30] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/code/cjftransform/1.0.1/cjftransform-1.0.1.pom
2018-06-04 17:30:45,117 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/google/code/cjftransform/1.0.1/cjftransform-1.0.1.pom
2018-06-04 17:30:45,256 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/kennycason/kumo/1.5/kumo-1.5.jar
2018-06-04 17:30:45,341 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/kennycason/kumo/1.5/kumo-1.5.jar
2018-06-04 17:30:45,354 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/googlecode/lambdaj/lambdaj/2.3.3/lambdaj-2.3.3.jar
2018-06-04 17:30:45,396 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/googlecode/lambdaj/lambdaj/2.3.3/lambdaj-2.3.3.jar
2018-06-04 17:30:45,422 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-all/1.1/hamcrest-all-1.1.jar
2018-06-04 17:30:45,561 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/hamcrest/hamcrest-all/1.1/hamcrest-all-1.1.jar
2018-06-04 17:30:45,573 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/objenesis/objenesis/1.2/objenesis-1.2.jar
2018-06-04 17:30:45,584 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-04 17:30:45,586 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/max/Documents/365/final/finalProject/src/main/resources
2018-06-04 17:30:45,588 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/objenesis/objenesis/1.2/objenesis-1.2.jar
2018-06-04 17:30:45,589 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-06-04 17:30:45,590 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /Users/max/Documents/365/final/finalProject/src/test/resources
2018-06-04 17:30:45,602 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/cglib/cglib-nodep/2.2/cglib-nodep-2.2.jar
2018-06-04 17:30:45,668 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/cglib/cglib-nodep/2.2/cglib-nodep-2.2.jar
2018-06-04 17:30:45,679 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/jsoup/jsoup/1.8.2/jsoup-1.8.2.jar
2018-06-04 17:30:45,726 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/jsoup/jsoup/1.8.2/jsoup-1.8.2.jar
2018-06-04 17:30:45,805 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/github/davidmoten/rtree/0.7.5/rtree-0.7.5.jar
2018-06-04 17:30:45,887 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/davidmoten/rtree/0.7.5/rtree-0.7.5.jar
2018-06-04 17:30:45,898 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/com/github/davidmoten/guava-mini/0.1/guava-mini-0.1.jar
2018-06-04 17:30:45,921 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/com/github/davidmoten/guava-mini/0.1/guava-mini-0.1.jar
2018-06-04 17:30:45,949 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/io/reactivex/rxjava/1.1.1/rxjava-1.1.1.jar
2018-06-04 17:30:46,058 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/io/reactivex/rxjava/1.1.1/rxjava-1.1.1.jar
2018-06-04 17:30:46,114 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading https://repo.maven.apache.org/maven2/org/languagetool/language-en/2.5/language-en-2.5.jar
2018-06-04 17:30:46,315 [Worker-21] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded https://repo.maven.apache.org/maven2/org/languagetool/language-en/2.5/language-en-2.5.jar
